"subject","Subject","Age_Q1","sex_birth","ARQ_risico_1","ARQ_risico_2","ARQ_risico_3","ARQ_risico_4","ARQ_risico_5","ARQ_risico_6","ARQ_risico_7","ARQ_risico_8","ARQ_risico_9","ARQ_risico_10","ARQ_risico_11","ARQ_risico_12","ARQ_risico_13","ARQ_risico_14","ARQ_risico_15","ARQ_risico_16","ARQ_risico_17","ARQ_risico_18","ARQ_risico_19","ARQ_risico_20","ARQ_risico_21","ARQ_risico_22","ARQ_ervaring_1","ARQ_ervaring_2","ARQ_ervaring_3","ARQ_ervaring_4","ARQ_ervaring_5","ARQ_ervaring_6","ARQ_ervaring_7","ARQ_ervaring_8","ARQ_ervaring_9","ARQ_ervaring_10","ARQ_ervaring_11","ARQ_ervaring_12","ARQ_ervaring_13","ARQ_ervaring_14","ARQ_ervaring_15","ARQ_ervaring_16","ARQ_ervaring_17","ARQ_ervaring_18","ARQ_ervaring_19","ARQ_ervaring_20","ARQ_ervaring_21","ARQ_ervaring_22","SVOslider_1","SVOslider_2","SVOslider_3","SVOslider_4","SVOslider_5","SVOslider_6","SVOslider_7","SVOslider_8","SVOslider_9","SVOslider_10","SVOslider_11","SVOslider_12","SVOslider_13","SVOslider_14","SVOslider_15","DOSPERT_BT3_freq_1","DOSPERT_BT3_freq_2","DOSPERT_BT3_freq_3","DOSPERT_BT3_freq_4","DOSPERT_BT3_freq_5","DOSPERT_BT3_freq_6","DOSPERT_BT3_freq_7","DOSPERT_BT3_freq_8","DOSPERT_BT3_freq_9","DOSPERT_BT3_freq_10","DOSPERT_BT3_freq_11","DOSPERT_BT3_freq_12","DOSPERT_BT3_freq_13","DOSPERT_BT3_freq_14","DOSPERT_BT3_freq_15","DOSPERT_BT3_freq_16","DOSPERT_BT3_freq_17","DOSPERT_BT3_freq_18","DOSPERT_BT3_freq_19","DOSPERT_BT3_freq_20","DOSPERT_BT3_freq_21","DOSPERT_BT3_freq_22","DOSPERT_BT3_freq_23","DOSPERT_BT3_freq_24","DOSPERT_BT3_freq_25","DOSPERT_BT3_freq_26","DOSPERT_BT3_freq_27","DOSPERT_BT3_freq_28","DOSPERT_BT3_freq_29","DOSPERT_BT3_freq_30","DOSPERT_BT3_freq_31","DOSPERT_BT3_freq_32","DOSPERT_BT3_freq_33","DOSPERT_BT3_freq_34","DOSPERT_BT3_freq_35","DOSPERT_BT3_freq_36","DOSPERT_BT3_freq_37","DOSPERT_BT3_freq_38","ARQ_BehaviouralScale_TotalScore","ARQ_BehaviouralScale_Thrillseeking","ARQ_BehaviouralScale_Rebellious","ARQ_BehaviouralScale_Reckless","ARQ_BehaviouralScale_Antisocial","ARQ_JudgementScale_TotalScore","ARQ_JudgementScale_Thrillseeking","ARQ_JudgementScale_Rebellious","ARQ_JudgementScale_Reckless","ARQ_JudgementScale_Antisocial","SVO_Item_01_Self","SVO_Item_01_Other","SVO_Item_02_Self","SVO_Item_02_Other","SVO_Item_03_Self","SVO_Item_03_Other","SVO_Item_04_Self","SVO_Item_04_Other","SVO_Item_05_Self","SVO_Item_05_Other","SVO_Item_06_Self","SVO_Item_06_Other","SVO_mean_first_six_Items_Self","SVO_mean_first_six_Items_Other","SVO_angle","SVO_type","DIA","DJG","DAL","DIC","IA_Index","s_age","softmax","criterion","alpha","beta","gender","age","ageExact","SES","SES_coded","meanprior","priorSD","priorvar","s_ageExact","logmeanprior","logcriterion","logpriorSD","priorTrust","priorCertain","f_age","ageGroup","f_ageGroup","ageGroupsmall"
"1","SLP3-001",20,1,1,2,1,2,0,0,0,2,0,2,4,0,1,2,1,4,1,1,2,2,4,3,3,1,1,0,3,3,3,0,0,0,0,4,0,0,2,0,1,0,0,0,0,0,1,9,9,4,5,9,6,5,4,7,5,9,5,1,1,7,4,1,2,4,7,1,7,1,1,5,2,2,1,7,1,1,1,7,1,3,5,2,1,2,5,3,5,7,7,7,3,5,1,1,4,7,3,21,10,6,0,5,35,6,7,16,6,85,85,100,50,85,85,63,68,75,75,85,85,82.1666666666667,74.6666666666667,37.482411427716,3,0.0555555555555556,0.166666666666667,0.527777777777778,0.472222222222222,0.25,20,31.218,0.12235,1,1,"0",20,20.94,"high SES",2,0.5,0.288675134594813,0.0833333333333333,0.793225890931839,-0.693147180559945,-2.10086948909346,-1.242453324894,3,5,"20",4,"4",6
"100","SLP3-100",13,1,2,4,2,3,2,3,2,4,1,2,3,2,3,1,1,3,4,1,3,3,4,3,1,0,0,0,1,0,2,0,0,0,0,2,1,4,0,0,0,0,0,1,0,0,1,9,9,1,5,9,6,5,5,9,5,9,5,1,1,5,6,1,3,2,2,1,3,2,2,3,5,3,2,4,4,2,1,6,3,4,4,3,4,5,3,5,5,3,3,3,2,3,3,2,2,5,2,12,4,0,0,8,56,13,14,16,13,85,85,100,50,85,85,50,100,75,75,85,85,80,80,44.999999999997,3,0.0972222222222222,0.145833333333333,0.486111111111111,0.513888888888889,0.4,13,87.666,0.10486,3.5708,3.2508,"0",13,13.08,"middle SES",1,0.523454907939486,0.178584530980792,0.0318924347056293,-1.01779467137659,-0.647304388122633,-2.25512915183775,-1.72269322694037,4,3,"13",2,"2",2
"101","SLP3-101",11,1,0,2,1,0,1,0,0,3,3,1,2,1,2,0,2,4,3,1,2,2,3,2,0,0,0,0,3,0,3,0,0,1,1,3,0,2,0,0,1,0,1,1,0,1,2,9,9,4,1,5,6,6,1,9,5,9,5,1,4,6,7,2,2,2,2,1,5,1,2,2,5,1,2,4,6,2,2,1,2,2,5,4,6,2,4,5,6,3,5,6,5,4,1,1,1,6,2,17,7,1,2,7,35,8,8,11,8,85,76,100,50,85,85,63,68,100,50,93,68,87.6666666666667,66.1666666666667,23.2291808895511,3,0.152777777777778,0.125,0.597222222222222,0.402777777777778,0.55,11,67.277,0.09721,2.2846,2.1414,"0",11,11.2,"middle SES",1,0.51617713511071,0.214537236012203,0.0460262256357556,-1.45096498398981,-0.661305287311148,-2.33088169214916,-1.53927196121736,5,2,"11",1,"1",1
"102","SLP3-102",14,1,3,4,2,4,1,2,2,4,4,4,4,2,4,2,4,4,1,4,2,4,4,4,0,0,2,0,4,2,2,0,0,0,0,2,0,3,0,0,3,0,0,1,0,0,1,9,9,4,5,9,6,5,4,7,5,8,5,3,2,3,1,1,5,1,1,1,5,1,1,1,1,1,3,1,3,2,1,1,2,3,1,1,2,1,5,3,1,5,1,1,1,5,1,1,3,3,1,19,8,2,0,9,69,20,18,18,13,85,85,100,50,85,85,63,68,75,75,85,85,82.1666666666667,74.6666666666667,37.482411427716,3,0,0.25,0.5,0.5,0,14,72.778,0.023864,3.5572,15.842,"0",14,14.48,"middle SES",1,0.183368386325209,0.0856778890706344,0.00734070067559993,-0.695221034324201,-1.69625810956226,-3.73538423176969,-2.45716049051036,6,5,"14",2,"2",3
"103","SLP3-103",12,1,2,4,3,4,1,2,1,4,0,3,4,2,4,2,3,4,2,3,3,4,4,2,0,0,2,0,1,1,0,0,0,0,0,2,0,2,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,2,4,5,3,1,1,5,1,1,1,1,1,3,2,3,1,1,1,1,2,1,6,1,2,5,1,1,3,1,1,2,6,1,1,3,3,1,9,3,1,1,4,61,12,16,19,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,41.492,1.49e-09,3.5914,4.6188,"0",12,12.79,"middle SES",1,0.437431487661689,0.163458760205094,0.0267187662877864,-1.08461349619459,-0.826835185077895,-20.324489716989,-1.81119455162196,4,5,"12",1,"1",2
"104","SLP3-104",15,2,1,4,3,4,0,1,0,4,1,2,4,1,3,0,3,4,4,3,4,2,4,4,0,0,0,0,3,2,2,0,0,2,0,3,0,2,0,0,3,0,0,1,0,0,2,5,7,4,5,7,5,6,5,7,4,6,4,5,4,5,3,1,3,6,7,1,5,1,2,4,2,1,5,7,2,1,1,4,2,1,7,4,1,5,3,2,6,3,2,1,5,4,1,1,3,3,1,18,5,4,0,9,56,12,14,20,10,85,76,93,33,76,89,63,68,75,75,89,76,80.1666666666667,69.5,32.8789845474121,3,0.152777777777778,0.416666666666667,0.458333333333333,0.541666666666667,0.268292682926829,15,120.31,0.080771,3.9143,3.7081,"1",15,15.58,"high SES",2,0.513525923593619,0.1702146570666,0.0289730294803001,-0.441770319497321,-0.666454766771701,-2.51613728877011,-1.77069494982567,8,5,"15",2,"2",3
"106","SLP3-106",15,2,2,4,1,4,1,4,2,4,4,4,4,2,4,0,4,4,0,1,1,3,4,4,0,0,4,0,3,0,0,0,0,0,0,1,0,3,0,0,3,0,0,0,0,0,1,9,9,1,5,9,6,5,4,7,5,7,5,3,1,7,1,1,1,1,1,1,4,1,1,1,1,1,1,7,1,1,1,1,1,1,1,5,1,3,6,7,4,7,1,4,1,7,1,1,1,5,7,14,7,0,0,7,61,15,20,17,9,85,85,100,50,85,85,50,100,75,75,85,85,80,80,44.999999999997,3,0.0277777777777778,0.25,0.472222222222222,0.527777777777778,0.1,15,104.74,0.053812,2.5909,2.6308,"1",15,15.72,"high SES",2,0.49617940517456,0.200448491406763,0.0401795977072472,-0.409512955792082,-0.700817713675357,-2.92225878835884,-1.60719796595455,5,4,"15",2,"2",3
"108","SLP3-108",14,2,1,4,1,4,1,1,0,4,3,4,3,2,2,1,3,4,1,2,2,4,3,4,3,0,1,0,2,1,4,0,0,0,1,2,1,1,0,0,1,0,0,0,0,0,1,9,9,7,1,1,1,5,1,1,8,8,5,2,8,7,6,1,2,1,1,1,5,1,1,2,7,1,4,1,1,6,1,3,1,7,1,4,1,4,7,3,1,7,1,5,6,7,1,2,6,1,1,17,10,1,1,5,54,12,16,16,10,85,85,100,50,85,85,76,36,100,50,100,50,91,59.3333333333333,12.8243981022343,2,0.333333333333333,0.520833333333333,0.833333333333333,0.166666666666667,NA,14,44.657,0.041554,1,1,"1",14,14.37,"high SES",2,0.5,0.288675134594813,0.0833333333333333,-0.72056610580689,-0.693147180559945,-3.18076149275954,-1.242453324894,4,1,"14",2,"2",3
"109","SLP3-109",14,1,1,4,3,2,1,1,0,4,1,4,3,2,2,1,2,4,2,1,2,1,3,2,0,0,0,0,2,1,4,0,0,0,0,3,0,1,0,0,1,0,0,2,0,0,1,9,9,9,1,9,2,7,1,3,9,9,8,1,6,6,2,2,2,1,1,1,3,1,1,1,1,1,2,6,3,1,1,2,1,3,2,2,3,4,3,2,6,2,2,1,1,5,1,1,1,5,3,14,6,1,0,7,46,9,15,14,8,85,85,100,50,85,85,85,15,100,50,85,85,90,61.6666666666667,16.2602047083109,2,0.375,0.375,0.875,0.125,NA,14,48.703,0.0042312,1.856,3.4988,"0",14,14.56,"middle SES",1,0.346604915216255,0.188779289280063,0.0356376200610857,-0.676788255064065,-1.0595697205656,-5.4652696382125,-1.66717672789769,7,6,"14",2,"2",3
"11","SLP3-011",20,1,1,2,2,1,1,0,0,3,1,1,2,0,2,1,0,3,1,2,1,3,3,3,2,1,0,0,0,4,1,1,0,2,1,4,1,1,4,0,2,0,2,0,1,0,1,9,9,4,5,8,6,6,3,7,6,7,5,2,2,6,4,6,4,3,7,2,6,1,4,5,7,4,5,7,4,6,1,6,5,1,7,5,5,6,6,6,7,7,7,6,6,6,1,4,3,4,4,27,3,12,4,8,33,10,6,10,7,85,85,100,50,85,85,63,68,75,75,87,81,82.5,74,36.4444417565847,3,0.0694444444444444,0.229166666666667,0.541666666666667,0.458333333333333,0.232558139534884,20,142.71,0.066991,5.3108,4.2662,"0",20,20.86,"high SES",2,0.55453691135011,0.152823393590366,0.023354989628476,0.774793111671702,-0.589621907499872,-2.70319699697224,-1.87847231455485,6,3,"20",4,"4",6
"110","SLP3-110",14,2,2,4,2,3,2,0,0,4,4,1,3,1,4,2,1,3,2,0,3,3,4,3,2,0,0,0,2,1,3,0,0,1,0,2,0,1,0,0,1,0,0,0,0,0,1,8,1,4,5,9,9,5,4,7,5,6,5,3,1,5,3,1,2,4,4,1,4,1,1,2,4,1,1,7,6,3,1,2,2,1,7,3,3,4,3,1,7,5,5,5,3,6,1,1,3,7,4,13,7,2,0,4,51,13,10,16,12,85,85,98,46,50,100,63,68,75,75,85,85,76,76.5,45.5456575934127,3,0.0833333333333333,0.208333333333333,0.416666666666667,0.583333333333333,0.285714285714286,14,261.65,0.069949,8.6645,8.8113,"1",14,14.77,"high SES",2,0.495799906155941,0.116319641500868,0.0135302589988905,-0.628402209506206,-0.701582848659118,-2.6599888738985,-2.15141334720934,3,3,"14",2,"2",3
"111","SLP3-111",15,1,2,3,3,4,2,1,1,4,1,4,4,2,4,3,4,4,3,2,4,2,4,4,0,0,0,0,1,2,1,0,3,0,0,2,0,1,0,0,0,0,0,1,0,0,1,9,9,5,1,9,5,9,1,5,9,9,9,1,1,5,4,1,2,1,1,1,5,1,2,3,1,1,1,5,1,2,1,7,2,1,7,1,1,2,1,3,5,1,1,1,1,3,1,3,5,3,1,11,5,2,0,4,65,15,16,20,14,85,85,100,50,85,85,68,58,100,50,85,85,87.1666666666667,68.8333333333333,26.872538991654,3,0.305555555555556,0.166666666666667,0.777777777777778,0.222222222222222,NA,15,124.78,0.093997,3.9501,4.9592,"0",15,15.26,"high SES",2,0.443368165849169,0.157813730262444,0.0249051734593476,-0.515501436537868,-0.813354779936284,-2.36449241211504,-1.84633986382042,0,5,"15",2,"2",3
"112","SLP3-112",14,1,0,2,2,3,1,0,0,4,1,2,3,0,3,2,3,4,0,2,3,3,4,4,4,0,0,0,1,1,1,0,0,0,0,3,0,2,0,0,3,0,0,2,0,0,1,9,9,4,5,9,6,5,4,7,5,8,5,3,2,6,7,5,5,1,5,1,5,1,1,3,7,2,5,7,4,6,2,5,5,4,6,6,3,5,3,2,2,3,6,6,4,5,1,2,1,2,1,17,6,1,0,10,46,10,11,17,8,85,85,100,50,85,85,63,68,75,75,85,85,82.1666666666667,74.6666666666667,37.482411427716,3,0,0.25,0.5,0.5,0,14,264.29,0.05602,7.8218,20.903,"0",14,14.64,"high SES",2,0.272301286693032,0.0816471781875816,0.00666626170599469,-0.658355475803928,-1.3008461540362,-2.88204650915017,-2.50534802002102,6,4,"14",2,"2",3
"113","SLP3-113",16,2,2,3,2,3,1,2,1,3,4,2,2,1,1,1,1,3,1,3,1,2,4,2,1,0,2,0,3,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,8,7,2,5,9,6,4,3,7,6,7,5,3,2,6,1,4,2,1,4,1,2,1,1,4,1,1,2,7,4,1,1,5,1,5,7,5,3,4,4,4,3,5,2,7,4,4,3,1,1,1,1,10,6,1,0,3,45,15,11,13,6,85,85,98,46,76,89,54,89,75,75,85,85,78.8333333333333,78.1666666666667,44.3299044777726,3,0.0555555555555556,0.25,0.5,0.5,0.181818181818182,16,29.175,0.027125,1,1,"1",16,16.84,"high SES",2,0.5,0.288675134594813,0.0833333333333333,-0.151454046150168,-0.693147180559945,-3.60729946712151,-1.242453324894,3,4,"16",3,"3",4
"114","SLP3-114",10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,8,4,5,5,6,5,4,6,5,6,5,5,4,5,5,2,1,5,1,1,2,1,1,1,3,1,1,7,2,1,1,1,1,2,5,1,2,1,2,1,6,1,2,1,2,3,1,1,1,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,85,100,50,81,87,63,68,75,75,93,68,82.8333333333333,72.1666666666667,34.0243448271852,3,0.0972222222222222,0.395833333333333,0.486111111111111,0.513888888888889,0.197183098591549,10,195.54,0.034064,6.3887,24.415,"0",10,10.92,"high SES",2,0.207400409691044,0.0718940422658662,0.00516875331332615,-1.51547971140029,-1.57310400782201,-3.37951417083101,-2.63256187908101,3,5,"10",1,"1",1
"115","SLP3-115",13,1,1,4,1,3,1,1,1,4,2,2,3,1,3,1,3,3,1,2,1,1,2,3,4,0,0,0,2,0,4,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,1,9,9,4,5,9,6,5,4,7,5,8,5,3,2,6,5,4,3,4,1,1,4,1,1,3,6,1,1,5,1,1,1,3,1,2,3,4,2,2,4,4,5,4,1,3,3,2,1,1,2,4,4,14,10,0,0,4,44,11,14,12,7,85,85,100,50,85,85,63,68,75,75,85,85,82.1666666666667,74.6666666666667,37.482411427716,3,0,0.25,0.5,0.5,0,13,166000,0.0001632,29239,23.436,"0",13,13.08,"high SES",2,0.999199109739189,0.00016536738790446,2.73463729823443e-08,-1.01779467137659,-0.000801211144755793,-8.72053411543427,-8.70734096588885,6,4,"13",2,"2",2
"116","SLP3-116",11,2,1,4,2,3,0,1,1,4,2,4,4,3,2,1,4,4,1,2,4,2,4,2,4,0,1,0,3,0,1,0,0,0,0,1,1,2,0,0,1,0,0,1,0,0,3,9,9,5,1,1,1,9,1,1,7,6,6,1,5,3,6,1,3,1,2,1,2,1,1,1,6,1,1,6,4,1,1,1,2,1,3,1,2,1,1,6,6,1,1,1,3,6,1,3,1,3,4,15,9,0,0,6,55,10,17,19,9,85,68,100,50,85,85,68,58,100,50,100,50,89.6666666666667,60.1666666666667,14.3756024581218,2,0.388888888888889,0.479166666666667,0.833333333333333,0.166666666666667,NA,11,20.421,0.10057,1.7949,1,"1",11,11.04,"middle SES",1,0.642205445633117,0.246067177079344,0.0605490556357971,-1.48783054251008,-0.442847017709737,-2.29690127652575,-1.40215070277036,4,5,"11",1,"1",1
"117","SLP3-117",10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,9,5,5,9,6,5,4,7,5,8,5,3,3,3,5,1,1,2,1,1,5,1,1,1,6,1,2,7,3,1,1,1,1,3,7,1,2,1,7,2,7,1,1,1,4,4,2,1,1,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,85,100,50,85,85,68,58,75,75,85,85,83,73,34.8753283445999,3,0.0138888888888889,0.270833333333333,0.513888888888889,0.486111111111111,0.0487804878048781,10,22.87,0.032045,1,2.2085,"1",11,11.04,"middle SES",1,0.311672120928783,0.225778712636089,0.0509760270796096,-1.48783054251008,-1.16580353820843,-3.44061411402595,-1.48819990701596,6,2,"11",1,"1",1
"118","SLP3-118",10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,9,8,5,4,8,5,6,3,5,6,8,6,2,3,6,4,1,2,2,1,1,3,1,1,1,1,1,2,6,4,1,1,1,2,2,4,3,1,4,4,2,3,1,1,2,1,3,1,3,3,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,76,100,50,81,87,68,58,81,69,87,81,83.6666666666667,70.1666666666667,30.9220261829223,3,0.125,0.291666666666667,0.625,0.375,0.3,10,587.46,0.036172,29.886,63.303,"1",10,10.5,"high SES",2,0.320703087274249,0.0480929367585733,0.00231293056606413,-1.612251802516,-1.13723954565568,-3.3194699401039,-3.0346199575893,5,3,"10",1,"1",1
"119","SLP3-119",10,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,9,1,2,9,9,7,1,1,9,1,1,1,1,1,5,1,1,1,2,1,1,2,1,1,1,2,1,1,3,2,1,1,1,1,1,2,1,1,2,1,2,2,5,1,1,1,3,1,1,6,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85,85,100,50,50,100,54,89,50,100,85,85,70.6666666666667,84.8333333333333,59.3192831250148,4,0.388888888888889,0.208333333333333,0.25,0.75,NA,10,955.92,0.041691,39.745,62.348,"1",10,10.04,"middle SES",1,0.389301911002713,0.0480221897472543,0.0023061307081213,-1.71824028326179,-0.94340011556012,-3.17747000080958,-3.03609208849455,4,3,"10",1,"1",1
"12","SLP3-012",23,2,2,3,3,1,1,1,0,4,2,3,4,0,2,0,2,4,1,0,3,1,4,1,1,1,0,3,1,4,4,1,0,3,0,4,0,1,4,0,1,0,0,1,0,0,4,8,9,8,5,5,3,3,2,1,5,7,5,4,4,6,6,4,5,1,7,4,3,1,2,1,7,6,5,7,4,6,1,7,3,1,6,5,1,6,2,1,6,7,7,7,4,2,1,1,7,3,3,29,6,13,3,7,42,9,13,16,4,85,59,98,46,85,85,81,26,75,75,93,68,86.1666666666667,59.8333333333333,15.2104262164011,2,0.236111111111111,0.479166666666667,0.625,0.375,NA,23,71.152,0.091351,2.1458,1,"1",23,23.4,"high SES",2,0.682115836989001,0.228696405538367,0.052302045906169,1.36003385318104,-0.382555786603896,-2.39304604931054,-1.47535989500579,6,3,"23",5,"5",7
"120","SLP3-120",12,2,1,4,2,4,0,1,0,4,1,4,4,3,2,2,4,4,2,1,3,4,4,3,4,0,0,0,3,0,2,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,1,9,9,4,5,9,6,5,4,7,5,8,5,3,2,7,1,1,1,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,12,9,0,0,3,57,8,17,19,13,85,85,100,50,85,85,63,68,75,75,85,85,82.1666666666667,74.6666666666667,37.482411427716,3,0,0.25,0.5,0.5,0,12,174.32,0.071774,8.468,9.2267,"1",12,12.6,"high SES",2,0.478561377135527,0.115534362055318,0.0133481888155293,-1.12839134693741,-0.736970806439297,-2.63423298549979,-2.15818728629426,8,5,"12",1,"1",2
